ORG,BESKRIVELSE,NAVN,ROLLE,UDD,Koen,Foedselsdato,PARTI
K11,,Simon Kollerup,,Statskundskab,Mand,,Socialdemokratiet
K92,,Sjúrður Skaale ,,Statskundskab,Mand,,Javnaðarflokkurin 
K93,,Sjúrður Skaale ,,Statskundskab,Mand,,Javnaðarflokkurin 
K94,,Sjúrður Skaale ,,Statskundskab,Mand,,Javnaðarflokkurin 
K95,,Sjúrður Skaale ,,Statskundskab,Mand,,Javnaðarflokkurin 
K96,,Sjúrður Skaale ,,Statskundskab,Mand,,Javnaðarflokkurin 
K97,,Sjúrður Skaale ,,Statskundskab,Mand,,Javnaðarflokkurin 
CBS/Handelshøjskolen i  København merc 04,,Sophie Løhde Jacobsen,,Erhvervsøkonomi,Kvinde,11-09-83,Venstre
CBS/Handelshøjskolen i  København merc 05,,Sophie Løhde Jacobsen,,Erhvervsøkonomi,Kvinde,11-09-83,Venstre
CBS/Handelshøjskolen i  København merc 06,,Sophie Løhde Jacobsen,,Erhvervsøkonomi,Kvinde,11-09-83,Venstre
CBS/Handelshøjskolen i  København merc 07,,Sophie Løhde Jacobsen,,Erhvervsøkonomi,Kvinde,11-09-83,Venstre
Herning Seminarium ,,Steen Gade ,,Læreruddannelsen,Mand,09-04-45,Socialistisk Folkeparti
Soc RUC 03,,Stine Maiken Brix ,,Socialvidenskab/Samfundsfag,Kvinde,03-04-82,Enhedslisten
Soc RUC 04,,Stine Maiken Brix ,,Socialvidenskab/Samfundsfag,Kvinde,03-04-82,Enhedslisten
Soc RUC 05,,Stine Maiken Brix ,,Socialvidenskab/Samfundsfag,Kvinde,03-04-82,Enhedslisten
Cand.jur. KU 92,,Søren Pind,,Jura,Mand,20-11-69,Venstre
Cand.jur. KU 93,,Søren Pind,,Jura,Mand,20-11-69,Venstre
Cand.jur. KU 94,,Søren Pind,,Jura,Mand,20-11-69,Venstre
Cand.jur. KU 95,,Søren Pind,,Jura,Mand,20-11-69,Venstre
Cand.jur. KU 96,,Søren Pind,,Jura,Mand,20-11-69,Venstre
Cand.jur. KU 97,,Søren Pind,,Jura,Mand,20-11-69,Venstre
Bankrådgiver uddannelsen – Sparekassen Holstebro,,Thomas Nolsøe Danielsen,,Erhvervsøkonomi,Mand,24-06-83,Venstre
"Lastvognsmekaniker. Iveco, Holstebro.",,Thomas Nolsøe Danielsen,,Erhvervsøkonomi,Mand,24-06-83,Venstre
Statskundskab Aarhus 92,,Tina Nedergaard,,Statskundskab,Kvinde,28-03-69,Venstre
Statskundskab Aarhus 93,,Tina Nedergaard,,Statskundskab,Kvinde,28-03-69,Venstre
Statskundskab Aarhus 94,,Tina Nedergaard,,Statskundskab,Kvinde,28-03-69,Venstre
Statskundskab Aarhus 95,,Tina Nedergaard,,Statskundskab,Kvinde,28-03-69,Venstre
Statskundskab Aarhus 96,,Tina Nedergaard,,Statskundskab,Kvinde,28-03-69,Venstre
Statskundskab Aarhus 97,,Tina Nedergaard,,Statskundskab,Kvinde,28-03-69,Venstre
Skive Seminarium ,,Torben Hansen ,,Læreruddannelsen,Mand,11-09-65,Socialdemokratiet
Økonomi København 00,,Torsten Schack Pedersen,,Økonomi,Mand,26-06-76,Venstre
Økonomi København 01,,Torsten Schack Pedersen,,Økonomi,Mand,26-06-76,Venstre
Økonomi København 02,,Torsten Schack Pedersen,,Økonomi,Mand,26-06-76,Venstre
Økonomi København 03,,Torsten Schack Pedersen,,Økonomi,Mand,26-06-76,Venstre
Økonomi København 04,,Torsten Schack Pedersen,,Økonomi,Mand,26-06-76,Venstre
Økonomi København 96,,Torsten Schack Pedersen,,Økonomi,Mand,26-06-76,Venstre
Økonomi København 97,,Torsten Schack Pedersen,,Økonomi,Mand,26-06-76,Venstre
Økonomi København 98,,Torsten Schack Pedersen,,Økonomi,Mand,26-06-76,Venstre
Økonomi København 99,,Torsten Schack Pedersen,,Økonomi,Mand,26-06-76,Venstre
Soc RUC 01,,Trine Bramsen ,,Socialvidenskab/Samfundsfag,Kvinde,26-03-81,Socialdemokratiet
Soc RUC 02,,Trine Bramsen ,,Socialvidenskab/Samfundsfag,Kvinde,26-03-81,Socialdemokratiet
Soc RUC 03,,Trine Bramsen ,,Socialvidenskab/Samfundsfag,Kvinde,26-03-81,Socialdemokratiet
Soc RUC 04,,Trine Bramsen ,,Socialvidenskab/Samfundsfag,Kvinde,26-03-81,Socialdemokratiet
Soc RUC 05,,Trine Bramsen ,,Socialvidenskab/Samfundsfag,Kvinde,26-03-81,Socialdemokratiet
Soc RUC 06,,Trine Bramsen ,,Socialvidenskab/Samfundsfag,Kvinde,26-03-81,Socialdemokratiet
Soc RUC 07,,Trine Bramsen ,,Socialvidenskab/Samfundsfag,Kvinde,26-03-81,Socialdemokratiet
Statskundskab Áarhus 90,,Trine Pertou Mach ,,Statskundskab,Kvinde,09-10-69,Socialistisk Folkeparti
Statskundskab Áarhus 91,,Trine Pertou Mach ,,Statskundskab,Kvinde,09-10-69,Socialistisk Folkeparti
Statskundskab Áarhus 92,,Trine Pertou Mach ,,Statskundskab,Kvinde,09-10-69,Socialistisk Folkeparti
Statskundskab Áarhus 93,,Trine Pertou Mach ,,Statskundskab,Kvinde,09-10-69,Socialistisk Folkeparti
Statskundskab Áarhus 94,,Trine Pertou Mach ,,Statskundskab,Kvinde,09-10-69,Socialistisk Folkeparti
Statskundskab Áarhus 95,,Trine Pertou Mach ,,Statskundskab,Kvinde,09-10-69,Socialistisk Folkeparti
Statskundskab Áarhus 96,,Trine Pertou Mach ,,Statskundskab,Kvinde,09-10-69,Socialistisk Folkeparti
Statskundskab Aarhus 97,,Trine Pertou Mach ,,Statskundskab,Kvinde,09-10-69,Socialistisk Folkeparti
Statskundskab Aarhus 98,,Trine Pertou Mach ,,Statskundskab,Kvinde,09-10-69,Socialistisk Folkeparti
Ribe Statsseminarium ,,Troels Ravn ,,Læreruddannelsen,Mand,02-08-61,Socialdemokratiet
Statskundskab Aarhus 80,,Villum Christensen,,Statskundskab,Mand,31-07-1954,Liberal Alliance
Statskundskab Aarhus 81,,Villum Christensen,,Statskundskab,Mand,31-07-1954,Liberal Alliance
Statskundskab Aarhus 01,,Yildiz Akdogan,,Statskundskab,Kvinde,29-04-73,Socialdemokratiet
Statskundskab Aarhus 02,,Yildiz Akdogan,,Statskundskab,Kvinde,29-04-73,Socialdemokratiet
Statskundskab Aarhus 03,,Yildiz Akdogan,,Statskundskab,Kvinde,29-04-73,Socialdemokratiet
Statskundskab Aarhus 04,,Yildiz Akdogan,,Statskundskab,Kvinde,29-04-73,Socialdemokratiet
Statskundskab Aarhus 05,,Yildiz Akdogan,,Statskundskab,Kvinde,29-04-73,Socialdemokratiet
Statskundskab Aarhus 06,,Yildiz Akdogan,,Statskundskab,Kvinde,29-04-73,Socialdemokratiet
K00,,Zenia Stampe Lyngbo ,,Statskundskab,Kvinde,,Radikale Venstre
K01,,Zenia Stampe Lyngbo ,,Statskundskab,Kvinde,,Radikale Venstre
K02,,Zenia Stampe Lyngbo ,,Statskundskab,Kvinde,,Radikale Venstre
K03,,Zenia Stampe Lyngbo ,,Statskundskab,Kvinde,,Radikale Venstre
K04,,Zenia Stampe Lyngbo ,,Statskundskab,Kvinde,,Radikale Venstre
K05,,Zenia Stampe Lyngbo ,,Statskundskab,Kvinde,,Radikale Venstre
K06,,Zenia Stampe Lyngbo ,,Statskundskab,Kvinde,,Radikale Venstre
K07,,Zenia Stampe Lyngbo ,,Statskundskab,Kvinde,,Radikale Venstre
K08,,Zenia Stampe Lyngbo ,,Statskundskab,Kvinde,,Radikale Venstre
K09,,Zenia Stampe Lyngbo ,,Statskundskab,Kvinde,,Radikale Venstre
